facilityName,city,region,Country,sector_en,activity_en,cost_2021
ARLANXEO BELGIUM,Zwijndrecht,Anvers,Belgium,Chemical industry,Chemical installations for the production on an industrial scale of basic organic chemicals: Synthetic rubbers,4278099
ISVAG INTERCOMMUNALE,Antwerpen,Anvers,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,3439048
NLMK CLABECQ sa,Ittre,Région wallonne,Belgium,Production and processing of metals,"Installations for the processing of ferrous metals, Hot-rolling mills",3363446
CONFIDENTIAL,Wervik,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",2957224
SHELL CATALYSTS & TECHNOLOGIES BELGIUM,Gent,Flandre orientale,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide",2892342
UNILIN BV - SITE SPANO,Oostrozebeke,Flandre-Occidentale,Belgium,Paper and wood production and processing,"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)",2863819
VETEX,Ingelmunster,Région flamande,Belgium,Other activities,"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",2860162
EXXONMOBIL PETROLEUM & CHEMICAL BV - MEERHOUT POLYMERS PLANT,Meerhout,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",2809629
FERME DE PLOMCOT SA,Fleurus,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",2805924
InBW  Virginal - Usine d'incinération,Virginal-Samme,Brabant wallon,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2599490
EXXONMOBIL PETROLEUM & CHEMICAL BV - ANTWERP POLYMERS PLANT,Zwijndrecht,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",2577178
